fecha;festius;festius_sun;festius_sun_sat
30/11/19;No;No;No
1/12/19;No;Yes;Yes
2/12/19;No;No;No
3/12/19;No;No;No
4/12/19;No;No;No
5/12/19;No;No;Yes
6/12/19;Yes;Yes;Yes
7/12/19;No;No;No
8/12/19;No;Yes;Yes
9/12/19;No;No;No
10/12/19;No;No;No
11/12/19;No;No;No
12/12/19;No;No;Yes
13/12/19;No;No;No
14/12/19;No;No;No
15/12/19;No;Yes;Yes
16/12/19;No;No;No
17/12/19;No;No;No
18/12/19;No;No;No
19/12/19;No;No;Yes
20/12/19;No;No;No
21/12/19;No;No;No
22/12/19;No;Yes;Yes
23/12/19;No;No;No
24/12/19;No;No;No
25/12/19;Yes;Yes;Yes
26/12/19;Yes;Yes;Yes
27/12/19;No;No;No
28/12/19;No;No;No
29/12/19;No;Yes;Yes
30/12/19;No;No;No
31/12/19;No;No;No
1/1/20;Yes;Yes;Yes
2/1/20;No;No;Yes
3/1/20;No;No;No
4/1/20;No;No;No
5/1/20;No;Yes;Yes
6/1/20;Yes;Yes;Yes
7/1/20;No;No;No
8/1/20;No;No;No
9/1/20;No;No;Yes
10/1/20;No;No;No
11/1/20;No;No;No
12/1/20;No;Yes;Yes
13/1/20;No;No;No
14/1/20;No;No;No
15/1/20;No;No;No
16/1/20;No;No;Yes
17/1/20;No;No;No
18/1/20;No;No;No
19/1/20;No;Yes;Yes
20/1/20;No;No;No
21/1/20;No;No;No
22/1/20;No;No;No
23/1/20;No;No;Yes
24/1/20;No;No;No
25/1/20;No;No;No
26/1/20;No;Yes;Yes
27/1/20;No;No;No
28/1/20;No;No;No
29/1/20;No;No;No
30/1/20;No;No;Yes
31/1/20;No;No;No
1/2/20;No;No;No
2/2/20;No;Yes;Yes
3/2/20;No;No;No
4/2/20;No;No;No
5/2/20;No;No;No
6/2/20;No;No;Yes
7/2/20;No;No;No
8/2/20;No;No;No
9/2/20;No;Yes;Yes
10/2/20;No;No;No
11/2/20;No;No;No
12/2/20;No;No;No
13/2/20;No;No;Yes
14/2/20;No;No;No
15/2/20;No;No;No
16/2/20;No;Yes;Yes
17/2/20;No;No;No
18/2/20;No;No;No
19/2/20;No;No;No
20/2/20;No;No;Yes
21/2/20;No;No;No
22/2/20;No;No;No
23/2/20;No;Yes;Yes
24/2/20;No;No;No
25/2/20;No;No;No
26/2/20;No;No;No
27/2/20;No;No;Yes
28/2/20;No;No;No
29/2/20;No;No;No
1/3/20;No;Yes;Yes
2/3/20;No;No;No
3/3/20;No;No;No
4/3/20;No;No;No
5/3/20;No;No;Yes
6/3/20;No;No;No
7/3/20;No;No;No
8/3/20;No;Yes;Yes
9/3/20;No;No;No
10/3/20;No;No;No
11/3/20;No;No;No
12/3/20;No;No;Yes
13/3/20;No;No;No
14/3/20;No;No;No
15/3/20;No;Yes;Yes
16/3/20;No;No;No
17/3/20;No;No;No
18/3/20;No;No;No
19/3/20;No;No;Yes
20/3/20;No;No;No
21/3/20;No;No;No
